file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/CollectionFuture.java,com.google.common.util.concurrent.CollectionFuture$Present,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/Lists.java,com.google.common.collect.Lists$TransformingSequentialList,innerclass,9,9,0,9,6,4,0,11,0,0.5,0.0,0.0,6,0,4,0,1,1,6,0,0,0,3,1,0,1,0,2,3,0,3,30,4,0,0,0,0,0,1,3,0,4,0,1,0,1,53,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/primitives/IntsMethodsForWeb.java,com.google.common.primitives.IntsMethodsForWeb,class,1,2,1,1,0,1,1,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1024,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/JdkBackedImmutableSet.java,com.google.common.collect.JdkBackedImmutableSet,class,6,7,1,6,6,6,0,4,7,0.5833334,0.0,0.0,6,0,2,0,0,4,6,0,0,0,2,0,0,2,0,0,2,0,0,23,5,0,0,0,0,1,0,2,0,2,0,0,0,0,42,16,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/Striped.java,com.google.common.util.concurrent.Striped$PaddedLock,innerclass,0,0,0,0,1,2,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/ForwardingIterator.java,com.google.common.collect.ForwardingIterator,class,7,10,3,7,5,1,0,4,10,0.0,0.0,0.0,5,0,3,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1025,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/reflect/Types.java,com.google.common.reflect.Types$GenericArrayTypeImpl,innerclass,4,4,0,4,6,1,0,6,0,0.5,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,1,0,2,0,0,2,0,2,23,5,0,0,0,0,1,1,3,1,3,1,0,0,0,22,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/Striped.java,com.google.common.util.concurrent.Striped$PowerOfTwoStriped,innerclass,3,3,0,3,5,2,0,6,1,0.33333334,0.0,0.0,3,0,1,0,0,2,3,0,2,0,1,0,0,0,0,1,1,0,2,14,2,0,0,0,0,1,2,2,1,2,0,0,0,0,32,1034,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/ImmutableMap.java,com.google.common.collect.ImmutableMap$MapViewOfValuesAsSingletonSets$Anonymous2$Anonymous3,anonymous,3,3,0,3,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/RegularImmutableBiMap.java,com.google.common.collect.RegularImmutableBiMap$Inverse$InverseEntrySet,innerclass,12,12,0,12,7,6,0,4,21,0.0,0.0,0.0,7,0,3,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,0,0,0,1,0,0,0,0,0,1,0,0,21,16,0
